rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,age,phone_number,soc_sec_id,blocking_number
3790,peter,andersson,12,solomon crescent,scoth college,wembley downs,2582,qld,,36,04 52944477,8530335,6
390,luke,pepper,10,hurwood place,gnalta,narraweena,2170,nsw,,28,04 26483158,9319519,4
1571,kane,branofrd,87,mcclure street,,karratha,7109,,19440829,26,08 96264367,9863377,0
4510,rebecca,dunsford,12,paul coe crescent,,st albans,3061,vic,19461119,28,,4570865,6
200,,tyler,34,augustus way,port hills,rosedale,2138,sa,19090910,27,08 48684725,7503478,0
2460,marcus,darcey,33,hennessy street,redhill,birkdale,3151,tas,19950827,21,02 32078605,6842474,8
310,jessica,allen,83,yantara street,,cremorne,2502,vic,19840824,27,07 33700863,8130674,1
2820,emiily,byrne,11,simpson street,,tepco,2287,nsw,19950629,19,03 49715871,5146986,9
3560,james,levez,48,meares place,spencers brook,winston hills,2780,qld,19560218,23,07 16411905,4668376,9
451,schkirra,bosworth,5,bennett street,,malanda,4059,vic,19061201,32,07 14721452,3786009,8
2500,george,foley,20,beasley street,,loxton north,2539,wa,19971211,21,08 12316255,3554590,6
4591,imogen,scull,49,le souef crescent,settle downs,hallam,7277,vic,,33,04 73268470,4634829,1
1010,phillip,dohnt,10,bastin place,,walcha,2099,sa,19271001,24,04 26514471,9329530,1
3710,ciaran,bannister,2,follett street,,narwee,0870,nsw,19191210,,03 26431877,7192098,0
1650,elly,mcguiness,20,burrinjuck crescent,,toowoomba,4157,nsw,19920818,27,07 73779050,3988880,0
2201,cooper,blazevic,5,weavell place,broadlands est,,6147,vic,19640928,19,04 86518666,9818960,4
4951,chloe,hulsnan,91,chevalley loop,,diamond creek,,wa,19390512,28,08 05183345,2234366,9
1510,chelsea,henderson,17,,,ferntree gully,2560,nsw,19060806,32,08 87612320,8936079,1
221,sophie,hoffmann,11,,coolabula,bundaberg,4007,nsw,19720910,32,02 33654984,6802181,8
1071,camerokn,harvey,7,antill street,,kallaroo,4350,,19460601,29,03 37105221,7462613,8
71,makayla,pateron,39,hazlitt glade,,gerroa,3056,vic,19631025,28,07 42516513,8197380,1
870,william,taylor,148,therry place,,hackney,2333,qld,19640716,24,03 90861238,3022209,2
3221,nacoya,rowe,5,colvin street,,teneriffe,2482,nss,19920825,26,02 73759706,3075307,9
4670,kayne,viney,73,leichhardt street,,fairfield west,6375,nsw,19930609,27,08 20198215,9016502,0
141,nicole,hollis,3,catchpole street,,indooroopilly,2049,vic,19960608,24,08 23267655,1040924,6
1831,indyqna,spain,1,alabaster street,gildercliffe mews,ferntree gully,3174,nt,19961007,16,02 74194240,6791347,5
1141,madison,cappello,348,jackie howe crescent,,yallambie,5453,wa,19413108,27,07 36438059,8738829,8
3740,saskia,milham,70,tazewell circuit,lake side,wallacia,2619,nsw,19760316,23,,2561620,7
851,ethan,shattock,988,masters place,,deception bay,2088,sa,19711125,27,,1063308,6
2571,toby,pedersen,46,garrad fourt,carinya,caulfield south,4519,nsw,19250719,27,04 10864036,5818205,0
4860,emiily,collis,5,bungonia street,kimberly fields,flemington,2358,,19851019,,08 37669058,5977763,3
3351,tahlia,martin,16,empire circuit,,eastern heights,3338,nxw,19311229,32,07 17384403,5710637,8
1610,benjamin,gray,9,o'reilly street,golden grove,armidale,4152,sa,19750821,,08 83416653,1224928,2
2671,madison,higgins,1,,rosedale,pooraka,3564,,,38,02 37051811,9062353,7
1330,georgia,hunter,3,caley crescent,,davidson,3357,vic,19730212,40,08 64038149,9650075,1
1090,emiily,gunzburg,50,gannon place,,georgetown,7054,wa,19960528,32,04 30110099,5592262,6
1840,thomas,connellan,357,bunny street,,ballarat,4157,act,,,03 19884515,3073014,6
3761,ryan,brabin,3,william hudson crescent,,wallumbilla,3930,nsw,19868028,28,07 46646120,3166011,4
731,sophie,kilgallon,138,mcclintock street,,reservoir,4620,wa,19810428,25,02 29366218,5637662,0
2790,emiily,mcgrath,122,mount vernon drive,st james village,everton park,4655,nsw,19440616,30,02 85966508,5857173,5
1851,rhys,atkinson,34,mccubbin street,,bonnet bay,3019,tas,19870217,,07 56328268,7229274,3
740,liana,rothwell,55,moon place,,halls head,4270,wa,19160624,23,07 80925615,4795323,9
280,max,davis,25,mimosa close,loxley road,croydon,2170,nsw,19780307,36,08 94579332,4928485,8
1931,jassm,berry,61,hillebrand street,,maroochydore,2611,vic,19460224,33,02 79448976,9537270,6
4900,taylor,hawkins,20,madden place,lakeland carvn park,goodna,6009,nsw,19300228,38,04 96371451,2369353,6
2630,tara,dellafortuna,6,foskett street,,lake grace,3931,vic,19930215,31,04 62508809,9026596,8
1341,courtney,lewis,1,priddle street,,inveemay,2750,nsw,19280304,35,03 13763686,5472497,2
2330,thomas,verryt,6,hale crescent,,doncaster east,4069,tas,19810823,,03 86113039,8042104,5
2700,carlin,young,2,tristania street,raywin,drouin,5608,vic,19990613,34,02 16370067,8460808,6
580,thomas,brown,9,pennington crescent,blue gum hill,myers flat,3930,nsw,19870106,24,08 21005261,1440755,9
2451,jordan,mitchell,,rosman circuit,donside,gloucester,3272,tas,19081029,25,08 10063537,5667131,8
751,jenna,leo,101,lockyer street,,wangaratta,2630,nsw,19341925,36,08 83079983,9569335,7
3310,matisse,norton,21,gruner street,lochburn,narromine,,vic,19780505,37,07 29184634,6685170,8
2600,liam,johnson,266,simmons place,,kalamunda,3219,,19431204,36,04 44049174,5637571,4
1050,aneka,wilson,73,wilsmore crescent,,sunshine,4017,vic,,37,07 66876335,8687319,4
4350,brooklyn,hampton,10,william hudson crescent,,waikiki,4370,nt,19350426,26,07 95145371,5468729,6
1111,james,ditty,23,crozier circuit,,leichhardt,2041,vic,19700511,,04 03732386,8789607,6
3551,,manning,29,vagabond crescent,,quedjinup,4109,wa,19480521,,08 95299273,7509539,3
3200,mitchell,lawrence,7,stace place,,lindfield,2142,nsw,19310310,33,02 25328252,9164231,6
4170,madeline,gallant,26,sid barnes crescent,the meadows,werribee,2450,vic,19180515,39,02 66997660,9798103,9
3651,daen,brown,39,,,latrobe,2299,nsw,19002529,34,04 10898548,8347743,3
2810,cooper,mcmahon,14,currong street,,ermington,5107,nsw,,,,6064353,1
3610,lachlan,searcy,2,brimage place,,carina heights,3806,wa,19560528,25,04 07439186,5230008,4
4011,jasmin,procter,15,port jackson circuit,the haven,kingsford,2677,,19951224,31,02 57109338,3335553,1
2861,jasper,pawley,407,sproule circuit,,bogangar,3685,nsw,19780611,32,04 53234019,1132265,5
2321,amy,giffard,43,aston crescent,wattle farm ridge,enfield,7250,qld,19801101,25,07 26085688,8372089,7
1551,desi,faust,11,launceston street,huondene,broadview,2774,sa,19251029,21,08 14313923,8444858,2
2770,sachin,smith,5,belah street,,ryde,2148,nt,19200531,30,03 73256482,9204138,9
4690,julia,stevens,35,heard street,,miranda,2122,vic,19800103,35,,1605546,8
1781,jordan,saward,517,arabana street,,seven hills,6052,qld,19130912,34,04 10670488,5099857,3
3391,thomas,miles,5,mainoru place,,red hill,3250,nsw,19360107,,07 55898928,6670359,8
2261,kristen,cross,41,george street,,smeaton grange,2000,wa,19650127,29,04 51467340,5732219,2
2721,harvey,matthew,1013,tauss place,,christies beach,3204,qld,19412102,26,07 32466455,7304563,7
1101,jackson,hoffjan,7,challinor crescent,,quinns rocks,3021,nsw,19060618,,07 80154535,5425935,2
2060,tara,trapman,24,levien street,,little hartley,4818,qld,19180815,27,02 04960270,7634377,3
3801,zac,lownsborough,328,rubbo ctescent,,nickol,3977,nsw,19561213,,08 25305537,6235009,7
4211,amy,grieve,8,mackenzie street,mount york,horningsea park,6155,nsw,19600717,36,02 03239749,7702995,9
4910,aidan,clark,19,irvine street,,mckail,6163,qld,19161209,,08 48810084,5982726,4
3170,tarshya,mathewson,12,,,hamlyn heights,6021,nsw,19150603,36,07 61316116,2627381,6
3611,lachlan,searcy,9,brimage place,,carina heights,3806,wa,19560528,25,04 07439186,5230008,4
960,danny,kakoschke,2,allchin circuit,,kyeemagh,4011,nsw,19330605,,03 93714657,5930590,9
1460,ella,smith,22,mackaness place,,warrnambool,4132,vic,19950601,30,03 85621136,6365228,6
1451,josnua,cordon,11,wickham crescent,,ashfield,2390,wa,19850724,,02 20353082,6553903,2
1301,zali,halton,34,catani place,fregon comm,st kilda,2529,nsw,19620279,29,07 48127990,3811845,4
3700,holly,hamer,15,stow place,,taylors lakes,2320,vic,,29,04 81969156,8791824,3
2371,michael,mason,9,chipperfield circuit,,,5094,nsw,,35,02 22296931,2767665,7
00,chloe,lane,214,gellibrand street,,dingley village,2095,wa,19230720,,07 59659513,6364326,0
4320,kaitlyn,tong,15,denny street,camboon,semaphore park,2160,qld,19640915,,03 52587229,3881343,1
2071,kiana,williams,120,morant circuit,,adamstown heights,2230,,19961123,30,03 89656365,9852387,4
4981,ay,jan,68,cartwright street,,upper mount gravatt,3136,nsw,19550330,36,03 76869475,3219436,2
4901,taylor,hawkins,20,madden tlace,lakeland carvn park,goodna,6009,nsw,19300228,38,04 96371451,2369353,6
80,harrison,jones,31,cowan street,,warragul,5064,qld,19621010,38,04 01881208,7131819,3
3880,holly,johnson,21,gatton street,peak downs mine,bayview,5012,vic,19781127,32,,8199458,8
3601,eva,eldridge,29,halfrey circuit,gainsbury (cnr waldegrove r road,belrose,2049,qld,19341203,30,04 46694016,5586336,7
4111,isobel,koczi,120,unaipon avenue,,gowrie mountain,3070,qld,19180316,27,,2736287,5
1910,logan,hall,19,banner street,,blacktown,2880,,19220627,25,03 24977436,9190696,8
3260,james,yardley,6,allchin circuit,,bomaderry,2075,nsw,19981127,27,03 96864625,2269512,3
3411,christopher,galpin,8,hann street,meadowlands,wyalong,,wa,19470719,25,04 36731352,7029835,2
1860,annabel,liu,21,daley crescent,the springs,hawthorn,3825,qld,19330710,29,02 88032053,8570053,8
2530,charlotte,brooks,416,paul coe crescent,,wellington,,qld,19020706,36,04 93320451,2658128,7
4580,riley,turley,30,harrison street,braeside,toowoomba,7275,nsw,19381008,,,1621677,7
3960,georgia,matthews,10,paterson street,,wangaratta,5091,wa,19771120,25,07 29355950,7399142,0
4630,isaac,day,5,,,medindie gardens,3031,vic,19900723,42,07 20282079,6018183,1
2351,jayden,coulthard,25,alexander street,lazy acre,warilla,4226,qld,19500711,37,07 43447196,3069764,4
261,troy,shuhg,6,herbert crescent,juadine,moorland,2603,nsw,19610524,29,07 94272812,6884508,9
4190,isabella,arnold,8,hinkler street,,four mile creek,3810,qld,19841228,32,03 51272524,5977025,1
2180,kyle,turner,42,eggleston crescent,,imbil,3934,vic,19290317,27,04 97533402,9549615,0
3540,alex,ryan,7,creswell street,,hurstville,7250,nsw,19841118,,04 11870461,8375700,4
1891,ridley,bryant,58,the national capital private hospital,yanburra station street,ellenbrook,6104,nsw,19074203,33,,9165315,5
3370,harrison,pratt,38,fred lane crescent,novotel palm cove,nakara,6014,nsw,19480926,34,02 33399629,4220170,1
4391,phoebe,paltos,42,kosciusko avenue,,dunsborough,3070,nsw,19960813,27,08 18690983,2063878,6
460,miranda,earl,215,jardine street,,oatley,5038,vic,19520128,28,08 76239674,2320989,8
2011,paul,archobald,6,kissane crescent,kookaburra vlge,jannali,2448,vic,19990411,19,08 08217510,3226122,1
2390,alyssa,brandis,126,free place,,dalby,3106,sa,19111112,24,08 56247404,5369799,3
421,caitlin,bradbury,2,bentham sreet,,warranwood,5034,nsw,19850109,27,03 61153790,2432059,3
1381,samuel,miller,16,cockle street,,gympie,4034,nsw,19880903,30,08 64961598,9989980,3
2471,emiily,stitt,22,federal highway,,toowoomba,3021,,19940101,29,07 27292714,3982035,5
811,kadlin,fogg,,heagney crescent,,upper orara,2170,nsw,,19,03 91607216,4966325,3
4220,ruby,geddes,35,chuculba crescent,,new lambton,5045,vic,19911127,23,04 71863428,9481069,4
1830,indyana,spain,1,alabaster street,gildercliffe mews,ferntree gully,3174,nt,19961007,16,02 74194240,6791347,5
230,jade,den hartog,77,rason place,,tanunda,2360,nsw,19270530,24,07 68868398,6314753,9
2970,jacob,brinkworth,89,archdall street,,capalaba,5491,wa,19151101,,08 13827793,3585847,3
3580,ambrosia,flaubert,114,gledden street,the mews,mariginiup,3330,nsw,19620218,29,03 88256451,5272204,0
860,william,reeve,29,delamere street,redwood village,armadale,3956,vic,19891031,27,04 86901939,1717564,2
1260,jake,williams,61,giffen close,sondile,kew,4807,wa,19020407,24,07 65853372,1040649,9
3900,tori,harper,5,fitzhardinge crescent,,boronia,2444,vic,19831112,32,02 31788677,5566832,7
971,michaela,smith,1,davidson street,high nunnock,willetton,3089,njw,19270904,37,02 94162438,5173769,1
1641,zack,wright,12,elimatta street,,agnes water,3057,qld,19120524,32,08 00331292,4744502,4
4640,amy,potts,17,argyle place,pacid estate,elwood,5096,qld,,,02 63826579,4411550,4
2380,keegan,gillespie,235,morrell place,morning star,euroa,2671,nsw,19810706,31,02 44252808,3095399,4
1711,josephine,eva,5,dumas street,,south strathfield,3188,nsw,,,07 53183498,5233086,3
3081,jacob,wragg,42,lewis luxton avenue,,corryong,3939,sa,19590427,30,04 46065424,2525740,5
381,timothy,nation,7,bayley street,,yorkeys knob,3825,nsw,19540923,36,04 82343104,9948364,6
2301,harriet,swindler,3,buckley circuit,,noble park,3941,,19341017,34,07 84043005,4874973,8
3860,jemma,ross,25,barrington crescent,,sarsfield,2112,sa,19940721,38,03 93621190,9102471,8
2461,marvus,darcey,33,hennessy street,redhill,birkdale,3151,tas,19950827,21,02 32078605,6842474,8
1911,logan,hall,16,banner street,,blacktown,2880,,19220627,25,03 24977436,9190696,8
3741,saskia,milham,70,tazewell circuit,lake side,wallacia,2619,nsw,19760316,40,,2561620,7
4370,reeve,herbert,26,tiptree crescent,,toowoomba,3043,qld,19280513,33,,4587316,0
1350,kimberly,hall,319,bizant street,,traralgon,5523,nsw,19751129,30,03 83076421,8289333,5
680,anari,pedrazzini,14,leichhardt street,,lockyer waters,4220,nsw,19191214,18,02 62992508,3167148,1
1670,jamie,brennan,53,bass garden,adelene court,tatura,2107,vic,19260822,39,03 99989978,6464156,1
4710,emiily,wyles,29,kardang street,,laverton south,6076,qld,19000405,27,03 98569427,1349336,5
1601,hatwie,lunstedt,46,stone place,banyak,beaconsfield,4213,,19211219,28,03 83967580,9168546,4
2891,liam,tilbrook,,hyndes crescent,,barker mount,3121,tas,19290705,20,04 38049429,4741873,4
4780,riley,kuts,3,beazley crescent,,newell,4680,,19830129,30,08 48618134,7454149,4
3361,carla,harris,3,,,penguin,3196,,19180610,36,04 95686973,1771502,7
2491,annalise,mair,1,dexter street,,yarraville,3108,sa,,31,07 55166002,3015522,8
4331,elle,hyde,6,spigl street,cobbareena,tinana,5341,vic,19280415,30,04 23508597,9127097,0
1550,desi,faust,11,launceston street,huondene,broadview,2774,sa,19251029,21,08 14319323,8444858,2
180,juliana,lowen,479,crisp circuit,the anchorage,baulkham hills,3180,nsw,19221109,28,04 97936907,5072532,7
1991,bennie,russack,198,hawkesbury crescent,,coogee,3976,vic,19630525,18,08 16858840,5513012,8
871,william,taylor,148,,,hackney,2333,qld,19640716,24,03 90861238,3022209,2
4671,kayne,viney,37,leichhardt street,,fairfield west,6375,nsw,19930609,27,08 20198215,9016502,0
1780,jordan,saward,517,arabana street,,seven hills,6052,qld,19130912,34,04 10679488,5099857,3
4850,nicholas,strachan,16,cromwell circuit,coolalie,werribee,3029,qld,19840707,36,04 91336295,9058774,1
3090,nellie,richards,53,summerland circuit,old cowcumbla,thornlie,3688,nsw,19510414,33,02 50726654,6819012,7
611,benjamin,scuteri,1,aspinall street,ilkley,findon,2478,vic,19870730,38,02 10758395,9358168,5
660,emiily,hawke,81,sternberg crescent,jessfield,blacktown,4350,qld,19040404,22,07 47348328,5579095,9
4241,cameron,bergin,94,knaggs frescent,,freeling,2537,vic,19450822,,08 42831047,9690071,8
671,jackson,habils,14,denovan circuit,wrightville,strathfield,3128,,19200521,23,04 73536071,2889317,2
431,amber,hibberd,40,serpentine street,,tewantin,2321,vic,19390706,39,03 46865908,6910815,2
3480,madison,roach,100,carnall close,the pines,palmerston,4810,vic,,27,08 29628216,4318643,9
2410,samuel,carney,,gadali crescent,,altona meadows,3020,nsw,19860614,,02 65398197,2656402,3
3041,thomas,rawlings,32,stretton crescent,,west hobart,3046,tas,19460407,34,04 91958709,2227326,0
3261,james,yardley,6,allchin circuit,,bomaderry,2075,nsw,19220329,27,03 96864625,2269512,3
3941,james,gardner,8,magennis place,,barwon heads,2038,sa,19320203,,,1953475,9
1230,ellouise,dight,27,canberra avenue,,west pymble,5019,act,19690605,27,04 78512212,6881806,2
2320,amy,giffard,43,aston crescent,wattle ridge farm,enfield,7250,qld,19801101,25,07 26085688,8372089,7
4161,joel,morgante,35,percy crescent,,camden park,2521,nsw,19110405,38,07 66776195,8929851,7
3020,troy,proposch,11,streeter place,,keilor downs,3182,nsw,19820715,28,02 92732395,4096636,1
930,ella,rayner,780,len waters street,,warrnambool,6701,nsw,19360208,,04 82487805,8716218,9
3661,timothy,soave,215,hugh mckay crescent,p m cottage,narrogin,3498,,19850403,,08 58939481,6873138,8
3630,,mcglasson,22,atkinson street,,wantirna,2262,vic,19240423,34,03 90362025,7420176,6
2281,luke,perrey,4,priddle street,,fitzroy,6060,nsw,19890203,39,04 44205208,2395148,3
4501,isabella,johnson,128,wheeler crescent,long pointvia,warranwood,4855,sa,,23,08 45000866,6397180,0
2850,elly,tarud-kuborn,116,,,warnbro,3123,nsw,19860524,34,02 03516562,7654919,1
3920,simone,harris,24,macrossan crescent,yalca,port kembla,7330,nsw,19290609,29,,4343316,2
3060,thomas,harben,62,hopegood place,dp 668989,rockhampton,4670,wa,19410513,31,03 49047403,1583195,8
2100,oscar,giles,563,cockburn street,quambatook,kings meadows,3070,,19111117,,04 75008545,8690460,7
1701,beau,tur ner,75,,yarrandale moonee,birmingham gardens,2234,,,37,03 63943975,9153713,4
2961,max,langdon,25,madigan street,lucaya,blackmans bay,3084,nsw,19930520,,02 21206495,9942926,7
3380,jared,,12,belah street,university shores,newport,3030,vic,19721202,30,,3157383,4
1621,fergus,driessen,4,newdegate street,ridgelands,box hill south,3825,qld,19930121,29,02 14188965,7478769,3
4110,isobel,kocz,120,unaipon avenue,,gowrie mountain,3070,qld,19180316,27,,2736287,5
4251,brigitte,daniels,40,culgoa circuit,glenearra,wonthaggi,2230,nsw,19000613,,07 80334553,8055984,4
820,ella,lamprey,16,totterdell street,emuview,wishart,4700,nsw,19860911,23,02 84680392,7829910,1
2391,alyssa,brandis,126,free place,,dalby,3106,sb,19111112,24,08 56247404,5369799,3
4811,alexander,burgke,146,horsley crescent,kingscliff veterinary clinic,bray park,3182,nsw,19720510,28,03 78499334,6759454,5
3050,hamish,stellmacher,79,popplewell place,,tweed heads south,5074,vic,19120107,32,08 02261100,2556226,6
3431,savannah,karbowniczek,5,wuruma place,,st andrews,3082,sa,19320121,35,07 20951344,6224834,8
520,connor,collins,91,dwyer street,,bonny hills,4812,qld,19410729,,02 18041653,9006774,7
3460,sophie,ahretis,,molloy crescent,aged care hostel,maffra,,sa,19081015,28,04 89763690,6273876,3
4551,emma,hill,5,mack street,wylie,keysborough,3068,nsw,19610212,35,07 98965811,3459205,4
1660,jessica,phillips,949,haddon street,chapman valley,edmonton,0820,vic,19621017,,03 65706891,6788329,4
3440,timothy,lynch,67,maidment place,lara park,beldon,5341,nsw,19551124,27,04 69366404,7791092,1
4050,emiily,dove,49,pickworth street,,maroubra,2340,nsw,19770210,36,04 58402072,8577908,9
